Name,USN,CGPA,Address,Blood Group,Branch,UG/PG,DOB,Year
Steve Morales,USN00028,2.8,"403 Katelyn Parks Apt. 814
South Jodishire, WA 23463",AB+,Computer Science,UG,2004-02-11,2
Jacob Jackson,USN00029,4.1,"59391 Rhodes Corners
Michaelside, VA 68903",B+,Electronics,PG,2002-08-24,4
Kenneth Jones,USN00030,7.7,"928 Carlson Terrace Apt. 950
Kevinshire, NM 74763",B+,Electronics,UG,2005-08-04,3
Andres Arnold,USN00031,0.6,"1544 Norma Mill
West Sallyfurt, ND 96619",B+,Computer Science,UG,1999-06-27,3
Brittany Dodson,USN00032,9.1,"31276 Alexander Road
Murrayfort, IN 67198",AB+,Computer Science,PG,2000-08-30,2
Stacey Hernandez,USN00033,6.2,"2068 Amanda Road Apt. 900
West Russell, PR 54499",B+,Electronics,PG,2002-01-16,2
Megan Chapman,USN00034,5.3,"0369 Jones Harbors Suite 871
Barbarachester, WY 83151",A+,Electronics,UG,1994-11-01,4
Paula Howell,USN00035,6.4,"29066 Denise Lights Apt. 578
Campbellbury, LA 39508",B+,Electronics,PG,2002-10-01,2
Jamie Nguyen,USN00036,2.0,"09386 Angela Passage
Port Markport, NE 65289",A+,Computer Science,PG,1998-09-03,4
Terrence Ward,USN00037,1.0,"45695 Smith Lakes
North Susan, NH 79582",AB+,Mechanical,UG,1999-11-06,2
Tammy Hamilton,USN00038,1.3,"85532 Vernon Field Apt. 558
Jonesmouth, CA 38542",AB+,Electronics,PG,2003-02-22,2
Nancy Richmond,USN00039,4.8,"0816 Lucas Drive Suite 237
Rodriguezberg, KY 48665",A+,Computer Science,PG,1993-08-12,1
Laurie Curtis,USN00040,9.5,"0009 Tiffany Route
South Petermouth, FM 81334",O+,Computer Science,PG,2006-02-02,1
Andrew Brown,USN00041,1.7,"911 Tracy Causeway Suite 215
Matthewbury, NV 46948",A+,Electronics,PG,2006-03-05,4
George Colon,USN00042,3.1,"844 Casey Oval
South Cassandraport, WA 55231",B+,Computer Science,PG,1996-09-12,1
Christy Zuniga,USN00043,2.3,"542 Richardson Vista Apt. 914
Lake Michaelbury, MS 97461",AB+,Mechanical,UG,2003-05-06,2
Amy Lee,USN00044,4.7,"83185 Mcconnell Via Apt. 537
New Johnland, GA 71634",B+,Mechanical,PG,1996-01-01,3
Lindsay Odonnell,USN00045,2.4,"181 Johnson Plains
Lake Jessehaven, PA 90105",B+,Computer Science,PG,1998-02-08,3
James Fox,USN00046,8.0,"272 Alexandra Loaf Apt. 267
North Matthew, ID 28717",AB+,Mechanical,UG,1998-04-27,2
Alice Gonzalez,USN00047,7.1,"0306 Kelly Mount Apt. 848
Garzabury, FM 64576",B+,Electronics,PG,1996-05-22,1
Stacey Clark,USN00048,5.0,"Unit 2056 Box 3568
DPO AA 17525",AB+,Mechanical,PG,2003-12-18,2
Michelle Jones,USN00049,4.6,"2002 Travis Mill Apt. 655
South Kelly, OR 81396",A+,Computer Science,PG,2001-02-27,1
Robin Cherry,USN00050,5.8,"93203 Sharon Run Apt. 376
North Eduardoshire, MD 35439",AB+,Electronics,PG,1999-05-08,3
Arthur Gomez,USN00051,4.3,"8846 Watkins Burgs Suite 816
Calebtown, SD 03910",A+,Computer Science,UG,2005-09-14,4
Gregory Carter,USN00052,3.2,"2728 Chad Trace
Port Kimton, CO 19954",A+,Computer Science,UG,2005-10-08,3
Shannon Johnson,USN00053,1.4,"357 Shaw Plains
North Josephshire, OH 00760",A+,Electronics,PG,2005-07-20,3
Megan Alvarez,USN00054,6.5,"164 Evans Stream Apt. 066
South Dawntown, WA 87847",A+,Electronics,UG,1997-02-21,2
Mr. Phillip Smith,USN00055,6.3,"28197 Schroeder Hollow
East Robert, IA 10065",AB+,Computer Science,UG,2000-11-05,4
Desiree Rivera,USN00056,3.5,"88966 Christina Lock
South Susan, KS 33651",AB+,Computer Science,UG,2002-08-17,4
Heather Kramer,USN00057,0.2,"593 Jacqueline Radial Apt. 917
Allisonhaven, MS 09275",A+,Mechanical,UG,2000-06-28,4
Whitney Evans,USN00058,1.4,"46632 Omar Rest
Costaport, VA 87081",AB+,Mechanical,PG,1994-02-01,1
Amanda Sheppard,USN00059,9.2,"50683 Marilyn Mountain Apt. 527
Heathertown, MI 21923",B+,Mechanical,UG,2003-03-31,4
Kathleen Wade,USN00060,3.1,"17151 Carlson Trail
Leebury, WI 58349",AB+,Electronics,PG,2004-07-28,2
Dr. Jared Williams,USN00061,1.6,"04212 Cody Fields
Lake Randychester, MI 31016",AB+,Computer Science,PG,2001-04-24,2
Donald Stewart,USN00062,8.4,"407 Frye Mall Apt. 450
North Kiara, GU 11528",B+,Electronics,UG,2003-10-10,4
Alexandra Becker,USN00063,6.2,"02017 James River Suite 526
Crystalmouth, VT 80734",A+,Electronics,UG,2003-06-20,1
Michelle Smith,USN00064,4.5,"38846 Flores Harbor
Wilsonburgh, AL 40047",O+,Electronics,PG,2001-02-04,3
Ashley Hicks,USN00065,2.5,"924 Rogers Gardens Apt. 189
New Crystal, NV 89942",A+,Mechanical,UG,1996-08-04,2
Michele Chang,USN00066,6.5,"234 Drake Points Apt. 133
Taylorhaven, SC 14037",O+,Mechanical,PG,1997-12-17,1
Christy Romero,USN00067,4.3,"40889 Brown Cliffs Suite 898
Marychester, AS 20581",AB+,Mechanical,UG,2003-09-08,1
Lauren Hanson,USN00068,5.4,"80213 Hogan Village Apt. 559
North Julieview, RI 72933",A+,Computer Science,UG,2006-03-21,1
Kimberly Phillips,USN00069,0.9,"3324 Jennings Forest Suite 272
Lopezmouth, OH 19524",B+,Electronics,PG,1998-11-08,3
Mary Phelps,USN00070,1.3,"USCGC Nguyen
FPO AE 88931",O+,Electronics,PG,2004-06-18,2
Katherine Snyder,USN00071,4.3,"41373 Hansen Pine Apt. 781
West Michael, VA 51742",AB+,Electronics,UG,1998-09-16,4
Carlos Hall,USN00072,1.8,"PSC 2211, Box 8082
APO AA 18331",AB+,Electronics,UG,2001-02-08,3
Steven Ferguson,USN00073,5.4,"821 Guy Glen
Sarahfort, NM 78796",AB+,Mechanical,UG,2002-08-25,3
Sherry Rowe,USN00074,1.5,"5180 Johnson Cove Suite 252
Hallberg, KS 05492",AB+,Mechanical,PG,1998-08-17,3
Carmen Lee,USN00075,6.8,"14899 Adam Viaduct Suite 979
Gregoryville, GU 23312",O+,Mechanical,UG,1996-09-01,1
Megan Delgado,USN00076,7.0,"49575 Saunders Shores
New John, NH 88231",AB+,Mechanical,PG,2000-05-06,1
Thomas Smith,USN00077,0.0,"790 Carr Keys
East Shannontown, MO 57460",AB+,Mechanical,UG,2003-05-28,4
Brittany Charles,USN00078,0.8,"67291 William Walks
Christopherland, MH 29800",AB+,Electronics,PG,2002-12-22,1
Lori Moss,USN00079,9.5,"8891 Felicia Plains
Robertberg, KY 02670",O+,Computer Science,UG,2005-08-11,1
Jason King,USN00080,2.9,"7070 Joseph Lodge
Mariefort, MS 20056",A+,Computer Science,PG,2000-01-20,1
Claudia King,USN00081,0.7,"48363 Thomas Inlet Apt. 560
Pedrofort, GA 37915",AB+,Electronics,PG,1996-04-03,4
James Martinez,USN00082,0.6,"63721 Jennifer Mountains
South Ian, ID 70951",AB+,Computer Science,PG,2004-06-14,2
Keith Lowery,USN00083,5.5,"459 Barnes Crossroad Suite 397
Kelleystad, KY 32120",O+,Electronics,PG,1999-08-22,3
Bobby Butler,USN00084,5.8,"487 Brandon Prairie
New Allisontown, VA 03234",A+,Computer Science,UG,2003-06-16,2
Richard Kelly,USN00085,2.4,"931 Jeffrey Via
Espinozaport, CO 72111",AB+,Electronics,PG,1995-08-21,4
Dr. Joshua Hernandez MD,USN00086,3.7,"762 Hudson Crossing
North Carrie, FM 17972",O+,Mechanical,UG,2004-12-18,2
David Howe,USN00087,0.4,"115 Jennifer Via Suite 906
Port Autumn, TX 16601",AB+,Computer Science,PG,1996-07-15,2
Shannon Taylor,USN00088,3.4,"73433 Brett Mills
New Michaelmouth, WY 79761",AB+,Computer Science,PG,2000-01-22,3
Jerry Paul,USN00089,1.7,"6869 Hill Crescent
Anthonyton, VA 39563",AB+,Electronics,PG,1997-09-21,2
Tracy Moore,USN00090,7.4,"9121 Ramirez Extension
Jonesshire, LA 29599",O+,Computer Science,PG,1996-10-11,2
Angel Anderson DDS,USN00091,5.7,"58064 Cristina Corners
Smithhaven, AK 04547",B+,Computer Science,PG,2004-08-07,4
Joyce Herrera,USN00092,9.9,"462 Lewis Wells Suite 981
Kevinberg, NE 57110",A+,Computer Science,PG,2000-07-12,2
Daniel Mckinney,USN00093,4.0,"7736 James Unions Apt. 436
South Ashleyfort, TX 87055",O+,Mechanical,PG,2001-11-05,4
Helen Marquez,USN00094,7.6,"724 Anderson Circle
North Diana, WV 33946",O+,Mechanical,UG,2002-04-16,4
Michael Lewis,USN00095,9.9,"0232 Rhonda River Suite 512
Ashleyton, PW 69712",A+,Electronics,PG,2005-09-04,1
Chad Russo,USN00096,3.4,"756 Melanie Roads
West Selenafurt, RI 12214",A+,Electronics,PG,1996-04-23,4
Darren Allen,USN00097,6.9,"303 Gaines Run
Jamesstad, DE 63773",O+,Electronics,UG,2000-04-14,1
Stephen Watkins,USN00098,8.0,"9487 Hicks Throughway Suite 302
Port Mark, WY 97207",B+,Electronics,PG,2000-05-06,1
Juan Morgan,USN00099,6.1,"4458 Miller Branch Suite 697
Lynchshire, MT 28039",AB+,Computer Science,PG,2003-08-23,4
